id,ppt_id,bet_no,play_duration (ms),old_bonus,total_stake,win_number,winnings,new_bonus,average_odds,total_numbers_bet,num_tokens
15,4,8,30208,£3.10,£0.60,35,£0.00,£2.50,£1.36,20,3,"[0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0, 1.8, 1.8, 0, 1.8, 1.8, 0, 0, 0, 0, 0, 0, 0, 1.8, 1.8, 0, 1.8, 1.8, 0, 0, 0, 0, 0, 0]"
12,4,7,1545,£2.60,£0.50,11,£1.00,£3.10,£1.03,18,1,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
10,4,6,2331,£3.10,£0.50,32,£0.00,£2.60,£1.03,18,1,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
9,4,5,6098,£3.60,£0.50,27,£0.00,£3.10,£1.03,18,1,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
7,4,4,5748,£4.10,£0.50,0,£0.00,£3.60,£1.03,18,1,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
5,4,3,10592,£5.10,£1.00,34,£0.00,£4.10,£0.47,28,2,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 2, 0, 2, 0]"
4,4,2,12283,£5.60,£0.50,15,£0.00,£5.10,£1.03,18,1,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
3,4,1,30209,£5.00,£0.30,30,£0.90,£5.60,£5.03,9,3,"[0, 3.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0.9, 0, 0.9, 0.9, 0, 0, 0, 0, 0, 0, 0, 0.9, 0.9, 0, 0.9, 0.9, 0, 0, 0, 0, 0, 0]"
37,6,13,2369,£4.50,£0.50,35,£1.00,£5.00,£1.03,18,1,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
35,6,12,4286,£4.50,£1.00,8,£1.00,£4.50,£0.47,28,2,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 2, 0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 2, 0, 2, 0, 2]"
